"Species","code","family","group","nat.inv","morph.mass.mg","chem.mass.mg","set.time.mpsec","height.cm","shape.m","size.mm.m","area.mm2.m","shape.c","size.mm.c","area.mm2.c","appendage type","smooth.coarse","appendage","prop.C","prop.N","cn","ldd","disp","ldd2","wing.loading.c","wing.loading.m","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","mucilage","fleshy.end","starchy.end"
"Avena fatua","AVEFAT","Poaceae","grass","invasive",234.36,123.69,222.422336258383,66.00384,0.136734248877925,14.840948,94.5105092,0.12587055922118,9.2440194,58.395776,"elongated appendage",1,"hairs",0.425810376861632,0.0177722674339734,23.9618756512927,4,"adhesive","adhesive",2.11813265397826,2.47972423367284,53.9233688196959,0.342004432200919,NA,NA,0.1018,0,1,1
"Boerhavia erecta","BOEERE","Nyctaginaceae","forb","native",38.9,38.9,240.108375644995,35,0.0722264148515046,3.8243475,17.6300412,0.0722264148515046,3.8243475,17.6300412,"no appendage",0,"none",0.387755102040816,0.0164795918367347,23.5294117647059,4,"adhesive","adhesive",2.20646109437339,2.20646109437339,448.310278806257,2.17989723584696,0.0136,0.0884,0.102,1,0,1
"Boerhavia triquetra var. intermedia","BOETRII","Nyctaginaceae","forb","native",24.02,24.02,249.611933868948,35,0.060696133310267,2.840564,11.401714,0.060696133310267,2.840564,11.401714,"no appendage",1,"none",0.431299035369775,0.0178906752411576,24.107476635514,4,"adhesive","adhesive",2.10670079954645,2.10670079954645,870.42125759897,2.19921161721839,0.0134,0.0836,0.097,1,0,1
"Bouteloua barbata","BOUBAR","Poaceae","grass","native",1.3982,1.2306,118.22534127806,16.5,0.0436889405769932,2.8184068,6.9533564,0.0608689882475207,1.49736614736842,2.71415218947368,"elongated appendage",1,"awn",0.436538583677358,0.035261987932677,12.3798631123919,4,"adhesive","adhesive",0.453401251695703,0.201082746168455,46.098062336901,0.802768739085098,NA,NA,0.0066,0,1,1
"Brassica nigra","BRANIG","Brassicaceae","forb","invasive",11.1442,11.1442,250.539709909312,111.864150266667,0.00247858798881151,1.3427317,4.79005504,0.00247858798881151,1.3427317,4.79005504,"no appendage",0,"none",0.537833433916717,0.0466173808086904,11.5371868729368,4,"adhesive","adhesive",2.32652859036877,2.32652859036877,55.9397227898735,1,0.0264,NA,NA,0,1,0
"Brassica tournefortii","BRATOU","Brassicaceae","forb","invasive",17.1,17.1,247.023214368215,56.6833333,5.00997645214695e-05,1.4756752,6.4553412,5.00997645214695e-05,1.4756752,6.4553412,"no appendage",0,"none",0.502622031662269,0.0371108179419525,13.5438144329897,1,"unassisted","unassisted",2.64896919778617,2.64896919778617,706.274571996199,1,0.0292,NA,NA,1,1,0
"Bromus diandrus","BRODIA","Poaceae","grass","invasive",134.67,98.11,264.134387076865,51.1051471666667,0.191732041834915,71.4904825,190.4801,0.174251311622527,15.924442,77.00654,"elongated appendage",1,"awn",0.424423756019262,0.0138523274478331,30.6391657010429,4,"adhesive","adhesive",1.27404763283742,0.707002988763656,91.7027229779358,0.167432633752426,NA,NA,0.0294,0,0,1
"Bromus hordeaceus","BROHOR","Poaceae","grass","invasive",22.14,15.9831,192.86693410545,35.847083325,0.161110010166388,14.05215,53.454908,0.140707104219044,6.4787903,24.352065,"elongated appendage",1,"awn",0.403233106013639,0.0187755734655921,21.4764735017335,4,"adhesive","adhesive",0.656334483338477,0.414180864365158,188.983910247907,0.160787258517224,NA,NA,0.0206,0,0,1
"Bromus madritensis","BROMAD","Poaceae","grass","invasive",26.31,21.38,157.45490955247,22.56371428,0.186234022407952,31.968532,64.357036,0.173561092734477,10.8592851,34.0692496,"elongated appendage",1,"awn",0.421442768985568,0.0278762429675667,15.1323550347979,4,"adhesive","adhesive",0.62754537452448,0.408813109416661,165.537886824649,0.211347835075268,NA,NA,0.0238,0,0,1
"Bromus rubens","BRORUB","Poaceae","grass","invasive",25.57,19.5,233.274314093795,31.7965,0.174692249499459,30.098456,73.13828,0.170320866176896,10.53357325,35.4792402,"elongated appendage",1,"awn",0.414824644549763,0.0239210110584518,17.3414344208163,4,"adhesive","adhesive",0.549617181486316,0.349611721796028,151.325200081602,0.188980760522758,NA,NA,0.0124,0,0,1
