Species,code,ldd2,wing.loading,coat.perm,E.S,coat.thick,mass.mg,set.time.mpsec,height.cm,shape,size,appendage type,smooth.coarse,appendage,prop.C,prop.N,cn,ldd,disp
Eriophyllum lanosum,ERILAN,wind,0.4300162322,104.6643187,1,0.0212,0.9843,113.042583,8,0.182887305,3.3900649,elongated appendage,0,pappus,0.4947590738,0.02821652065,17.53437569,2,wind
Eriophyllum wallacei,ERIWAL,wind,0.4110753107,141.3140712,1,0.0162,0.7359,88.87035826,8,0.149486167,2.0207445,flat appendage,1,pappus,0.5067532874,0.02499373826,20.27520982,2,wind
Erodium botrys,EROBOT,adhesive,10.47962822,31.1232721,1,0.0138,131.85,254.5104381,19.92,0.111177203,3.8154846,elongated appendage,1,awn,0.4837749604,0.06590808241,7.340146196,4,adhesive
Erodium cicutarium,EROCIC,adhesive,4.358401337,NA,1,0.014,27.82,274.0276119,13.60623076,0.104680768,2.6278539,elongated appendage,1,awn,0.4631528822,0.05320802005,8.704569006,4,adhesive
Erodium texanum,EROTEX,adhesive,5.747038635,25.59510745,1,0.0102,58.53333333,240.1178655,30,0.110994967,3.354613,elongated appendage,1,awn,0.49477666,0.06471227364,7.645793172,4,adhesive
Erysimum repandum,ERYREP,adhesive,0.6065383244,44.96840986,1,0.0156,1.6504,158.0851643,23.0357143,0.042966762,1.2496709,no appendage,0,none,0.4938388238,0.04416008712,11.18292232,4,adhesive
Erythranthe guttata,ERYGUT,ingestion,0.3179794082,41.26515963,0.9155597723,0.0078,0.2238,98.88531095,11.6,0.037073778,0.62926691,no appendage,0,none,0.5528009495,0.04503560529,12.27475341,3,bird
Eschscholzia glyptosperma,ESCGLY,unassisted,1.397776994,41.19530665,0.5541823392,0.0348,6.1157,205.7201065,15,0.000725625,1.240808,no appendage,1,none,0.3942725968,0.02254519369,17.48809978,1,ballistic
Eschscholzia minutiflora,ESCMIN,unassisted,1.340986583,33.59857337,0.6222722549,0.0352,5.7029,197.6280672,20,0.001352501,1.2496711,no appendage,1,none,0.59453789,0.03598514116,16.52176067,1,ballistic
Eucrypta chrysanthemifolia,EUCCHR,unassisted,1.203526105,54.28579921,0.7896716332,0.0174,5.0597,201.191535,90,0.009914308,1.3427317,no appendage,1,none,0.5039473684,0.03153553988,15.98029938,1,unassisted
Eucrypta micrantha,EUCMIC,unassisted,0.7299095918,58.91864897,0.7444512319,0.0082,0.7746,141.3647036,30,0.037558295,0.79766226,no appendage,1,none,0.4970427586,0.02500689655,19.87622725,1,unassisted
Eulobus californicus,EULCAL,unknown,0.8955080514,82.31858089,1,0.0114,2.5,175.413288,91,0.078948867,1.5687359,no appendage,0,none,0.5200654525,0.02678713717,19.41474556,0,unknown
Euphorbia crenulata,EUPCRE,unknown,0.8876289131,NA,NA,NA,6.9815,207.6102397,13.95,0.006418504,1.7991715,no appendage,1,none,0.4974484761,0.03103047896,16.03096352,0,unknown
Evax multicaulis,EVAMUL,unassisted,0.2603147126,64.65852223,1,0.0074,0.2145,83.59011593,13.5,0.05039053,0.74448479,no appendage,0,none,0.4860856574,0.04302124834,11.29873437,1,unassisted
Festuca microstachys,FESMIC,adhesive,1.062568392,64.93949693,0.2967470479,0.021,14.41,167.2826448,18.09462366,0.149548603,5.3820046,elongated appendage,0,awn,0.4432149712,0.02697056942,16.43328194,4,adhesive
Festuca myuros,FESMYU,adhesive,0.6445686841,58.61156451,0.1941043084,0.0018,7.0416,185.0644649,28.07676768,0.168878158,5.38643605,elongated appendage,1,awn,0.4438631857,0.0246397885,18.01408262,4,adhesive
Festuca octoflora,FESOCT,wind,0.4761176677,70.55332576,0.1467619849,0.0068,3.0987,132.5783564,5.3,0.131886227,3.05881325,elongated appendage,1,awn,0.4249910448,0.01888358209,22.50584888,2,wind
Festuca perennis,FESPER,adhesive,1.717974356,46.65005182,0.2779543649,0.014,26.31,230.5219369,53.22277778,0.092650944,3.692511533,elongated appendage,1,awn,0.416038961,0.0171969697,24.19257395,4,adhesive
Galium murale,GALMUR,adhesive,0.6184875928,80.774565,0.8708201338,0.0108,1.6834,146.5635427,10.08333333,0.02170139,1.134453,elongated appendage,1,hairs,0.4574858149,0.02709110043,16.89256284,4,adhesive
Gastridium ventricosum,GASVEN,wind,0.2536790005,22.58726899,0.3415647357,0.0192,0.9256,145.7809479,25.14285715,0.161910532,4.0858033,elongated appendage,0,awn,0.4253589272,0.02672626874,15.91538764,2,wind
Geraea canescens,GERCAN,ingestion,0.2681933892,140.327531,1,0.03,17.22,129.7062919,45,0.112520825,10.23445,elongated appendage,1,hairs,0.4481484742,0.01947476526,23.0117523,3,small mammal (internal or caching)
Geranium dissectum,GERDIS,adhesive,4.011361573,82.74103026,1,0.053,61.11,256.2812868,17.58945783,0.012141328,2.5214992,no appendage,0,none,0.4847468354,0.03783709411,12.81141818,4,adhesive
Gilia angelensis,GILANG,unassisted,1.363328407,1301.124898,0.9058632882,0.0242,3.2545,197.5062762,38.5,0.010263842,1.0103722,no appendage,1,none,0.4869551966,0.02541907955,19.15707434,1,unassisted
Gilia capitata,GILCAP,unassisted,1.522301623,632.1962982,0.9064315768,0.0504,9.0258,229.2686526,24.8,0.032523824,1.8301919,no appendage,0,none,0.4833616188,0.02548955614,18.9631242,1,unassisted
Gilia latiflora ssp. davyi,GILLATD,unassisted,1.010230137,841.3884007,0.8450956115,0.017,2.1525,181.430463,20,0.027707757,1.074628415,no appendage,1,none,0.5116312481,0.02847051781,17.9705635,1,unassisted
Gilia tricolor,GILTRI,unassisted,1.490103263,1182.450393,0.8669760247,0.019,3.975,209.5793946,12.325,0.02884708,1.20535634,no appendage,1,none,0.4486501548,0.02846130031,15.76351572,1,unassisted
Helianthus annuus,HELANN,adhesive,2.521478813,19.77671081,1,0.1474,55.59,204.3664807,223.5192857,0.083973793,4.3406122,no appendage,0,none,0.5118990704,0.02132270916,24.00722471,4,adhesive
Helianthus deserticola,HELDES,unknown,1.356116386,34.78690422,1,0.0888,30.4,204.9358822,25,0.123533951,5.3443373,no appendage,0,none,0.5697205758,0.03673440587,15.50918171,0,unknown
Helianthus niveus,HELNIV,unknown,1.042452353,93.30579268,1,0.094,26.59,191.8378826,100.584,0.096640497,5.0917442,no appendage,0,none,0.5386295229,0.04330451489,12.43818397,0,unknown
Helianthus niveus ssp. canescens,HELNIVC,unknown,1.722346673,41.48550886,1,0.0866,21.96,206.8651484,152.4,0.120847216,4.01046865,no appendage,0,none,0.5563874963,0.03552934238,15.65994356,0,unknown
Helianthus petiolaris ssp. fallax,HELPETF,unknown,1.564218559,15.62438317,1,0.07225,21.79,203.9199979,182.88,0.104718353,3.8753092,no appendage,0,none,0.566558373,0.03944796619,14.3621694,0,unknown
Heliomeris longifolia var. annua,HELLONA,unknown,0.9769856919,50.23380094,1,0.0308,3.582,193.419783,43,0.11710632,2.2135129,no appendage,0,none,0.5668351384,0.03828519856,14.80559485,0,unknown
Hemizonia congesta,HEMCON,unassisted,1.601141207,47.1135721,1,0.044,14.16,221.7292966,37.7,0.064666027,2.61012835,no appendage,0,none,0.4901710655,0.03259501011,15.2073156,1,unassisted
Herniaria hirsuta,NA,adhesive,0.8487027845,NA,NA,NA,0.7526666667,143.8817644,12,0.009535146,0.620404,no appendage,0,none,NA,NA,NA,4,adhesive
Hesperocnide tenella,HESTEN,unknown,0.6050188145,59.35085008,1,0.0444,1.2366,119.5534639,25,0.053532461,1.1632573,no appendage,1,none,0.4963162678,0.03491366253,14.21553145,0,unknown
Heterotheca sessiliflora,HETSES,wind,0.6810633413,83.51065196,1,0.0428,7.088,96.96220291,45,0.114250404,3.6958352,elongated appendage,1,plume,0.4799057143,0.03394571429,14.13744634,2,wind
Holocarpha virgata,HOLVIR,adhesive,1.533324075,69.58189039,1,0.1949,19.28888889,204.9559981,31.65,0.091028303,3.5628914,no appendage,0,none,0.556614654,0.04207259159,13.22986374,4,adhesive
Hordeum intercedens,HORINT,adhesive,1.771335194,66.00554059,0.3403639172,0.0808,29.79,207.7227436,22.5,0.124756116,5.0407826,elongated appendage,1,awn,0.4168047149,0.02287671233,18.2196073,4,adhesive
Hordeum murinum,HORMUR,adhesive,3.030490093,68.47816304,0.304873493,0.0562,95.16,206.259398,32.22692308,0.122461815,6.54304635,elongated appendage,1,awn,0.4099630577,0.02319693095,17.67315938,4,adhesive
Hypochaeris glabra,HYPGLA,adhesive,1.448945178,79.52664361,1,0.0051,7.47205,128.489545,27.25792685,0.1519799385,3.3302399,elongated appendage,1,plume,0.4890338346,0.03313157895,14.76035402,4,adhesive
Laennecia coulteri,LAECOU,wind,0.2673249801,52.36888591,1,8.00E-04,0.3259,74.55675828,80,0.071092364,0.97935196,elongated appendage,0,pappus,0.5377935723,0.03638133498,14.7821286,2,wind
Lagophylla minor,LAGMIN,unknown,0.7888399801,81.5558438,1,0.0326,3.4951,110.0434501,12.35,0.110842764,2.38190825,no appendage,0,none,0.5128947368,0.04908536585,10.44903563,0,unknown
Langloisia setosissima ssp. punctata,LANSETP,unknown,0.9078277276,760.616797,0.8878187737,0.0264,2.7034,166.3241079,8.89,0.05194944,1.44243935,no appendage,0,none,0.4549903661,0.02879713735,15.79984707,0,unknown
Lasthenia californica,LASCAL,ant,0.4833128007,42.73334979,1,0.0202,1.5367,131.7241878,11.3699359,0.144358159,2.53787087,elongated appendage,1,pappus,0.4702376543,0.04211111111,11.16659337,2,ant
Lasthenia coronaria,LASCOR,unassisted,0.5167112368,27.441181,1,0.0084,1.0479,105.7621044,40,0.153914285,2.18717045,flat appendage,1,pappus,0.5116542981,0.03242424242,15.77999237,1,unassisted
Lasthenia minor,LASMIN,unassisted,0.332333644,56.73657337,1,0.01966666667,1.0278,99.67679779,35,0.1315004,2.180910071,flat appendage,1,pappus,0.4796055437,0.04100479744,11.69632759,1,unassisted
Layia glandulosa,LAYGLA,wind,1.189425517,76.8814301,1,0.046,8.92,147.4715927,31.5,0.138536509,3.990527222,elongated appendage,1,pappus,0.5568042117,0.02506829824,22.21148825,2,wind
Layia platyglossa,LAYPLA,wind,0.8592334189,68.93645063,1,0.0342,5.9047,162.2462842,23.23333333,0.126374029,3.37455465,elongated appendage,1,pappus,0.5234985134,0.03896266931,13.43589961,2,wind
Lepidium dictyotum,LEPDIC,unassisted,1.480966616,3069.718574,1,0.0238,4.8807,212.4579686,7.5,0.073090154,1.5288527,no appendage,1,none,0.4785527438,0.03514643162,13.61596958,1,unassisted
Lepidium lasiocarpum,LEPLAS,unassisted,3.773658895,100.1662232,1,0.0192,12.564,189.2183012,20,0.07316912,1.5222056,balloon structure,0,balloon,0.5047853338,0.04210592291,11.98846383,1,unassisted
Lepidium nitidum,LEPNIT,unassisted,1.444209364,2901.176147,0.9788534889,0.0186,7.18075,228.1856662,6.14625,0.066209777,1.841270375,no appendage,0,none,0.4645593159,0.03588579629,12.98189349,1,unassisted
Leptosiphon montanus,LEPMON,unknown,1.376729455,794.7280378,0.922263771,0.0128,12.4971,165.3443639,35,0.081731777,2.71869895,no appendage,1,none,0.4599006828,0.04943823712,9.302529977,0,unknown
Leptosyne bigelovii,LEPBIG,wind,0.33516139,81.29424696,1,0.0098,12.6029,109.0235674,20,0.128827387,7.6442634,elongated appendage,1,pappus,0.4987615176,0.0182601626,27.31418819,2,wind
Lesquerella gordonii,LESGOR,unknown,1.460116155,605.5797923,1,0.0162,7.4293,183.3337932,41,0.06296793,1.5864617,no appendage,0,none,0.5250447227,0.04044722719,12.98098187,0,unknown
Linanthus bigelovii,LINBIG,unknown,0.3898279272,99.23896193,0.9203539823,0.0116,1.6802,140.5424943,12.5,0.023408906,1.5155583,balloon structure,0,balloon,0.509086728,0.02210906702,23.02615156,0,unknown
Linanthus dichotomus,LINDIC,unknown,0.4822875475,324.5822433,0.8878192534,0.0092,0.6679,124.0808595,8.26,0.024440044,0.86856557,no appendage,1,none,0.535685295,0.03106150484,17.24595437,0,unknown
Loeseliastrum matthewsii,LOEMAT,unknown,1.19665981,1567.08543,1,0.0088,4.2732,229.6707643,8.89,0.017355238,1.3161427,no appendage,1,none,0.4647581381,0.02007301491,23.15337981,0,unknown
Logfia filaginoides,LOGFIL,wind,0.447926479,30.12252479,1,0.0064,0.3325,114.1951578,13.825,0.060369347,0.7311904,elongated appendage,1,pappus,0.50366719,0.05130926217,9.816301554,2,wind
Logfia gallica,LOGGAL,wind,0.1451686442,68.64180142,1,0.0072,0.2117,94.7257472,13.3,0.023780556,0.833113925,no appendage,1,none,0.4738228438,0.04917637918,9.635171433,2,wind
Lupinus bicolor,LUPBIC,unassisted,3.174224007,89.27817707,0.8391931643,0.1604,44.34,222.6306568,20.21818965,0.041881024,2.6854631,no appendage,1,none,0.4406515274,0.06722627737,6.554751277,1,unassisted
Lupinus hirsutissimus,LUPHIR,unassisted,6.096734589,41.55624691,0.973872335,0.0944,237.99,255.1792178,60,0.023347566,4.3051606,no appendage,1,none,0.4461818182,0.05149529781,8.664515736,1,unassisted
Lupinus kingii,LUPKIN,unassisted,4.826536957,11.51815241,0.9686247878,0.055,97.41,282.7485104,6.14,0.034920559,3.0865098,no appendage,0,none,0.4049759075,0.05350787022,7.568529747,1,unassisted
Lupinus microcarpus,LUPMIC,unassisted,4.081885342,14.30817,0.9462064794,0.0482,244.71,293.1780455,18.764,0.055994538,9.014993986,no appendage,1,none,0.4497849788,0.07150817686,6.289979671,1,unassisted
Lupinus microcarpus var. horizontalis,LUPMICH,unassisted,5.448008513,32.91171979,0.9487045002,0.0812,323.03,284.9363018,44.6532,0.031586842,5.35098445,no appendage,1,none,0.438305638,0.06318397626,6.936974593,1,unassisted
Lupinus microcarpus var. microcarpus,LUPMICM,unassisted,6.788960625,2.132727884,0.9228385764,0.1224,335.05,330.7159927,44.6532,0.027264293,4.9432903,no appendage,1,none,0.4802677078,0.08319018405,5.773129525,1,unassisted
Lupinus sparsiflorus,LUPSPA,unassisted,4.06899654,40.86259483,0.9838935212,0.0472,66.1,295.5360145,27.5,0.028463935,2.9048202,no appendage,0,none,0.4506720779,0.06491233766,6.942779973,1,unassisted
Lupinus succulentus,LUPSUC,unassisted,6.542825656,14.55865037,0.9816419387,0.1264,261.08,292.4669172,31.6,0.024253188,4.36276945,no appendage,0,none,0.4487379709,0.06488864449,6.915508475,1,unassisted
Machaeranthera tagetina,MACTAG,wind,1.009856261,44.7762852,1,0.0842,6.6608,193.0859368,51,0.1225989245,3.018560963,elongated appendage,1,pappus,0.5472436873,0.04364770307,12.53774308,2,wind
Madia elegans,MADELE,adhesive,1.576338775,56.86700503,1,0.0692,20.85,243.7105781,32.9,0.110096657,3.8487205,no appendage,0,none,0.5221453071,0.043797942,11.92168589,4,adhesive
Madia gracilis,MADGRA,adhesive,2.031797274,77.28530674,1,0.0782,27.865,206.6396636,33.9,0.120492575,4.120147325,elongated appendage,1,hairs,0.5098098209,0.04128434432,12.37960893,4,adhesive
Malacothrix coulteri,MALCOU,unassisted,0.5794023576,93.43337525,1,0.0126,2.6361,152.9466032,75,0.115946841,2.2822005,elongated appendage,1,pappus,0.5253841445,0.04214263851,12.46680709,2,unassisted
Malacothrix fendleri,MALFEN,ingestion,0.5339668148,83.41440933,1,0.0066,1.7004,131.4068439,17.5,0.114289556,1.9897243,no appendage,1,none,0.5490544005,0.03334662489,16.46506662,3,small mammal (internal or caching)
Malacothrix glabrata,MALGLA,ingestion,0.4819912916,80.19106944,1,0.0068,2.5117,160.6496535,38.106,0.13853252,2.8848784,elongated appendage,1,pappus,0.5088032328,0.03308672676,15.37786546,3,small mammal (internal or caching)
Malva parviflora,MALPAR,unassisted,2.732572574,98.23168677,0.3932680749,0.0482,21.22,212.3810596,65,0.01274129,1.7991717,no appendage,1,none,0.4620637529,0.04098915544,11.27282931,1,unassisted
Matthiola parviflora,MATPAR,unassisted,0.8470504929,65.71303677,0.943902439,0.042,2.2556,169.2556505,22.7,0.046698205,1.21643485,no appendage,0,none,0.5186572743,0.05914031052,8.769945063,1,unassisted
Medicago polymorpha,MEDPOL,adhesive,1.614923062,112.851752,NA,NA,255.44,263.6798407,30.70758578,0.017731466,9.62069255,elongated appendage,0,hooks,0.5143768012,0.05765129683,8.922206948,4,adhesive
Melilotus indica,MELIND,unassisted,2.26813403,10.96300043,0.920919015,0.0652,15.96,242.2022545,35,0.00870701,1.7238367,no appendage,1,none,0.4334381076,0.028169151,15.38697803,1,unassisted
Mentzelia albicaulis,MENALB,unassisted,0.8165812823,68.74507669,0.8908413999,0.0162,3.5497,167.8500142,23.5,0.013388442,1.4623809,no appendage,1,none,0.4583973433,0.03644239099,12.57868463,1,unassisted
Mentzelia involucrata,MENINV,unassisted,1.596981283,42.35568884,NA,NA,16.39,220.3355558,21,0.051316917,2.41735975,no appendage,1,none,0.4452503996,0.0420564731,10.58696478,1,unassisted
Mentzelia micrantha,MENMIC,unassisted,1.128282147,33.43806803,0.846653144,0.027,7.6805,198.2274797,45,0.043801189,2.0561961,no appendage,1,none,0.5160073885,0.0291673771,17.69125097,1,unassisted
Micropus californicus,MICCAL,wind,0.2210753516,31.73471771,1,0.0292,8.4658,110.1796667,17.5,0.004977853,3.9971742,elongated appendage,NA,pappus,0.4386818981,0.01980316344,22.15211218,2,wind
Microseris douglasii,MICDOU,ant,1.66025744,97.91095273,1,0.08811111111,20.3024,175.4419747,9.096428573,0.15496981,5.2579237,elongated appendage,1,pappus,0.5036834734,0.02336484594,21.55732055,2,ant
Microseris elegans,MICELE,unassisted,0.7041156291,84.72320415,1,0.027,4.5395,148.1679641,6.96,0.138811599,3.329132125,elongated appendage,1,pappus,0.4724051655,0.03563626581,13.25630379,1,unassisted
Microsteris gracilis,MICGRA,unknown,1.249235481,382.253205,0.930933356,0.0426,8.87675,165.9093775,7.25,0.076516062,2.24010175,no appendage,1,none,0.4706546524,0.02959911732,15.90096918,0,unknown
Minuartia douglasii,MINDOU,unassisted,0.5654915255,62.33270724,NA,NA,2.5506,122.8000637,8.85,0.05803167,1.49118525,no appendage,0,none,0.4242809466,0.01827973301,23.21045643,1,unassisted
Mohavea confertiflora,MOHCON,wind,0.369427287,128.9997853,0.8742056379,0.03,1.7053,116.1965825,22.5,0.044969176,1.672875,flat appendage,0,,0.5580761965,0.02307934509,24.18076398,2,wind
Monarda citriodora var. austromontana,MONCITA,ant,1.199979999,12.6972863,NA,NA,4.1776,163.9065162,65.48,0.024195067,1.3161428,no appendage,1,none,0.5367214533,0.03373702422,15.90897436,2,ant
Monardella breweri ssp. lanceolata,MONBREL,unassisted,1.332378734,146.1569523,0.9479097102,0.0256,4.402,166.5483951,37,0.040552569,1.3693202,no appendage,0,none,0.5935918481,0.037578592,15.79601088,1,unassisted
Monolopia lanceolata,MONLAN,unassisted,1.097793591,75.84903716,1,0.0692,10.4176,158.658544,36,0.090530506,2.993449125,elongated appendage,1,hairs,0.5279659455,0.03213170201,16.53791872,1,unassisted
Monoptilon bellioides,MONBEL,wind,0.6145627452,59.87859389,1,0.0102,1.6732,114.4312229,25,0.097513961,1.7570728,elongated appendage,1,pappus,0.5072134324,0.03200839522,15.84626248,2,wind
Muhlenbergia microsperma,MUHMIC,adhesive,0.7739561702,33.09023576,0.4167999147,0.0064,1.7813,179.9518777,35,0.147483859,2.1758455,elongated appendage,0,awn,0.4086170213,0.02217805151,18.42438778,4,adhesive
Navarretia atractyloides,NAVATR,unassisted,1.262155999,698.8207669,1,0.029,1.853,166.3111708,17,0.022307177,0.89515432,no appendage,1,none,0.4864079538,0.03299230276,14.74307378,1,ballistic
Navarretia hamata,NAVHAM,unassisted,0.7988621457,488.1479212,NA,NA,1.3592,161.8243167,19,0.025605771,0.96605764,no appendage,1,none,0.4536123632,0.03659368963,12.39591765,1,ballistic
Navarretia pubescens,NAVPUB,unassisted,1.375656526,66.40871862,0.9038255622,0.0228,7.1503,184.4666707,11.3,0.070278317,2.0251759,no appendage,1,none,0.5231209232,0.0449222278,11.64503518,1,ballistic
Nemacladus longiflorus var. breviflorus,NEMLONB,unassisted,0.6617648392,194.5303264,0.8432835821,0.0058,0.2963,92.60239855,7.875,0.006687027,0.43428278,no appendage,0,none,0.5072497602,0.02148704829,23.60723322,1,unassisted
Nemophila menziesii,NEMMEN,ant,2.389462013,90.8878208,0.7652049656,0.0228,11.9712,184.0069293,13.55,0.016463784,1.4978325,no appendage,1,none,0.4212076677,0.02015335463,20.90012682,2,ant
Osmadenia tenella,OSMTEN,wind,1.282304423,75.25637337,1,0.009,4.1726,190.8997462,22.5,0.083962249,1.811358,elongated appendage,1,pappus,0.5069345616,0.02651207116,19.12089624,2,wind
Oxytheca perfoliata,OXYPER,unknown,1.121456125,85.79431347,NA,NA,4.7226,184.8373374,13,0.048529075,1.8301918,elongated appendage,1,hairs,0.4281745562,0.03109763314,13.76871849,0,unknown
Palafoxia arida,PALARI,wind,1.261650775,123.2900814,1,0.0506,34.47142857,156.6186328,201.17,0.176707446,10.3961996,elongated appendage,1,pappus,0.4865706974,0.02347088932,20.73081641,2,wind
Palafoxia arida var. arida,PALARIA,wind,0.9673524505,92.18376411,1,0.064,27.28,208.4097236,40,0.175400979,10.6842442,elongated appendage,1,hairs,0.5067040125,0.03593017196,14.10246555,2,wind
Panicum hirticaule var. hirticaule,PANHIRH,ingestion,1.428651531,14.38547286,0.6131530282,0.0644,8.9228,208.6569989,45,0.070712018,2.25118035,no appendage,0,none,0.4366826795,0.02566052842,17.01768071,3,bird
Pectis papposa var. papposa,PECPAPP,wind,0.3900323639,117.4216994,1,0.013,1.6051,116.1056279,10.5,0.159901771,3.7091297,elongated appendage,1,pappus,0.4616286645,0.02325436778,19.85126703,2,wind
Pectocarya heterocarpa,PECHET,adhesive,0.8399992882,50.3979853,NA,NA,4.6937,156.3628182,13.5,0.0379447315,1.99304795,elongated appendage,1,hairs,0.448293512,0.03554976305,12.61046694,4,adhesive
Pectocarya penicillata,PECPEN,adhesive,0.5483567145,96.54020205,NA,NA,4.05435,149.5910472,5.97037037,0.066986282,2.4339778,flat appendage,1,wing,0.4182286585,0.02397560976,17.44392167,4,adhesive
Pectocarya recurvata,PECREC,adhesive,0.6805209024,67.67568118,NA,NA,5.414,151.6606422,12.25,0.073494908,2.481616,elongated appendage,1,prickles,0.420731982,0.02828265766,14.87597054,4,adhesive
Perityle emoryi,PEREMO,unassisted,0.3350561382,54.4903947,NA,NA,2.2337,101.1727655,31,0.140789892,3.49641955,no appendage,0,none,0.5057725694,0.02758969907,18.33193498,1,unassisted
Phacelia brachyloba,PHABRA,unassisted,0.9228320293,32.01808812,0.7473267327,0.024,1.22,141.7545976,33.5,0.020294112,0.80652519,no appendage,1,none,0.5201688103,0.02239817792,23.22371097,1,unassisted
Phacelia calthifolia,PHACAL,unassisted,0.7542822081,67.5316522,0.7547200521,0.02,1.5322,167.4173265,20,0.040816328,1.1167272,no appendage,1,none,0.4652641753,0.02444587629,19.03241961,1,unassisted
Phacelia cicutaria,PHACIC,unassisted,1.600616042,54.24709489,0.8272394881,0.0426,8.1423,235.5952975,39,0.027692141,1.5886775,no appendage,1,none,0.479759141,0.02374347069,20.20593987,1,unassisted
Phacelia cicutaria var. hispida,PHACICH,unassisted,1.057177506,63.91751037,0.7727000837,0.0374,4.3942,235.1556692,39.65,0.032226926,1.4845381,no appendage,1,none,0.4769577791,0.01847310584,25.81903569,1,unassisted
Phacelia crenulata,PHACRE,ant,0.7573050249,135.012832,0.8535005349,0.0176,12.0078,209.0256054,43.5,0.064322391,3.4033591,no appendage,1,none,0.4684705228,0.02308954394,20.28929303,2,ant
Phacelia davidsonii,PHADAV,unassisted,1.269253272,83.13163116,0.8503112191,0.0454,2.2373,189.9222744,17.5,0.030399695,0.97048909,no appendage,1,none,0.4735385592,0.01743573469,27.15908264,1,unassisted
Phacelia distans,PHADIS,unassisted,1.220465476,81.05104984,0.8342513346,0.0416,7.708833333,254.2546633,42.5,0.065248853,2.18470845,no appendage,1,none,0.4545943335,0.02726980039,16.67024793,1,unassisted
Phacelia fremontii,PHAFRE,unassisted,1.24025,72.01139263,0.7742238946,0.035,2.7902,183.1351677,17.5,0.037838055,1.1920619,no appendage,1,none,0.4559186387,0.0166232385,27.42658349,1,unassisted
Phacelia grandiflora,PHAGRA,unassisted,1.046020643,137.9381572,0.8062418726,0.0086,1.2555,154.4436288,115,0.027527226,0.79323081,no appendage,1,none,0.5221096505,0.02172491183,24.03276269,1,unassisted
Phacelia parryi,PHAPAR,unassisted,1.344260121,86.09193102,0.802659472,0.0266,1.9577,163.5126255,55,0.017850728,0.82868246,no appendage,1,none,0.4689168393,0.02020420243,23.20887652,1,unassisted
Phacelia viscida,PHAVIS,unassisted,0.9911173037,92.61127152,0.7763902439,0.0068,1.6793,165.6317477,70.1,0.014449998,0.8862914,no appendage,1,none,0.4736547619,0.01950297619,24.28628109,1,unassisted
Phaseolus acutifolius var. tenuifolius,PHAACUT,unassisted,6.738560003,0.6180141222,NA,NA,214.05,252.1075072,120,0.042760621,4.06586185,no appendage,0,none,0.4077319902,0.03521672772,11.57779319,1,ballistic
Pholistoma auritum,PHOAUR,unknown,4.647327159,60.94589546,0.6330596312,0.05,77.99,257.02434,70,0.001243924,2.4284385,no appendage,1,none,0.4050537027,0.01440079141,28.12718351,0,unknown
Physalis crassifolia,PHYCRA,ingestion,1.644106989,38.50986197,NA,NA,13.6056,167.8012276,25,0.060222926,2.04733325,no appendage,0,none,0.5312478968,0.02035333707,26.10126757,3,bird
Plagiobothrys arizonicus,PLAARI,adhesive,1.953703787,42.67479585,NA,NA,14.28,177.7368426,25,0.004580168,1.7903087,no appendage,1,none,0.4227874934,0.02955219926,14.30646463,4,adhesive
Plagiobothrys nothofulvus,PLANOT,adhesive,2.529090155,34.42579708,1,0.0348,38.49,288.2228627,18.03333333,0.039249021,3.0311166,no appendage,1,none,0.4079617655,0.03285352825,12.4175937,4,adhesive
Plantago erecta,PLAERE,ant,2.313894741,1440.39128,NA,NA,19.65,228.5702099,6.426666667,0.06830008,2.46167445,no appendage,0,none,0.444843962,0.02729986431,16.29473161,2,ant
Plantago ovata,PLAOVA,unassisted,1.222101297,1166.725092,0.8946558759,0.0104,10.3183,226.7853447,15,0.076275325,2.54365635,no appendage,0,none,0.440936245,0.02898594378,15.21207135,1,unassisted
Plantago ovata var. insularis,PLAOVAI,ant,1.402574523,892.8236627,0.9361349184,0.0122,11.3986,181.4751735,18.5,0.074487095,2.4705374,no appendage,0,none,0.4389917355,0.02762644628,15.89027163,3,ant
Plantago patagonica,PLAPAT,ant,1.525802237,873.7853778,0.8759290258,0.0082,9.7465,201.334638,15.24,0.086623154,2.36861385,no appendage,0,none,0.4648670281,0.02773560547,16.7606591,3,ant
Platystemon californicus,PLACAL,unknown,1.226470802,68.43565023,NA,0.0112,4.2968,209.2996356,7.58,0.009866786,1.240808,no appendage,1,none,0.4845090614,0.01877738707,25.80279458,0,unknown
Polypogon monspeliensis,POLMON,adhesive,1.306133601,43.7402602,0.4410544301,0.006,0.9121,156.2409113,31.3008889,0.075014992,0.79323082,elongated appendage,1,awn,0.428350365,0.03306569343,12.95452539,4,adhesive
Pterostegia drymarioides,PTEDRY,unassisted,1.132819037,22.98556235,NA,NA,2.7861,181.5636532,50,0.031325246,1.2275135,no appendage,0,none,0.4177880038,0.01731831165,24.12406084,1,unassisted
Rafinesquia californica,RAFCAL,wind,0.6452680922,127.4820791,1,0.0134,13.3838,216.5996083,85,0.157914269,8.8053051,elongated appendage,1,pappus,0.482803288,0.02460600907,19.62135699,2,wind
Rigiopappus leptocladus,RIGLEP,wind,0.6912323847,84.35109147,1,0.0096,6.395,201.6088378,11.35,0.16315934,5.056784889,elongated appendage,1,pappus,0.4729408138,0.03159679408,14.968,2,wind
