Species,code,ldd2,wing.loading,coat.perm,E.S,coat.thick,mass.mg,set.time.mpsec,height.cm,shape,size,appendage type,smooth.coarse,appendage,prop.C,prop.N,cn,ldd,disp
Atrichoseris platyphylla,ATRPLA,unassisted,0.6868150066,254.5740214,1,0.293,10.2651,177.5226819,100,0.085888468,3.5141453,no appendage,0,none,0.4971102771,0.02073036952,23.97980783,1,unassisted
Atriplex elegans var. fasciculata,ATRELEF,ant,0.6599030211,74.07990286,1,0.0086,9.3992,151.9064163,29.385,0.08225322,2.7253461,flat appendage,1,,0.3505161881,0.02147525962,16.32186033,2,ant
Avena barbata,AVEBAR,adhesive,4.260530676,55.73987469,0.2376298826,0.048,128.11,179.7957252,70,0.13908842,7.0570954,elongated appendage,1,hairs,0.43845549,0.03156416737,13.89092527,4,adhesive
Avena fatua,AVEFAT,adhesive,4.013303976,53.92336882,0.3413222717,0.1018,234.36,222.4223363,66.00384,0.125870559,9.2440194,elongated appendage,1,hairs,0.4258103769,0.01777226743,23.96187565,4,adhesive
Boerhavia erecta,BOEERE,adhesive,2.206461094,448.3102788,1,0.0136,38.9,240.1083756,35,0.072226415,3.8243475,no appendage,0,none,0.387755102,0.01647959184,23.52941176,4,adhesive
Boerhavia triquetra var. intermedia,BOETRII,adhesive,2.1067008,870.4212576,1,0.0134,24.02,249.6119339,35,0.060696133,2.840564,no appendage,1,none,0.4312990354,0.01789067524,24.10747664,4,adhesive
Bouteloua barbata,BOUBAR,adhesive,0.5151516579,46.09806234,0.8009118541,0.0066,1.3982,118.2253413,16.5,0.060868988,1.497366147,elongated appendage,1,awn,0.4365385837,0.03526198793,12.37986311,4,adhesive
Brassica nigra,BRANIG,adhesive,2.32652859,55.93972279,1,0.0264,11.1442,250.5397099,111.8641503,0.002478588,1.3427317,no appendage,0,none,0.5378334339,0.04661738081,11.53718687,4,adhesive
Brassica tournefortii,BRATOU,unassisted,2.648969198,706.274572,1,0.0292,17.1,247.0232144,56.6833333,5.01E-05,1.4756752,no appendage,0,none,0.5026220317,0.03711081794,13.54381443,1,unassisted
Bromus diandrus,BRODIA,adhesive,1.748812503,91.70272298,0.1673191096,0.0294,134.67,264.1343871,51.10514717,0.174251312,15.924442,elongated appendage,1,awn,0.424423756,0.01385232745,30.6391657,4,adhesive
