in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,microbe.rob,notes,
y,y,morph,,1,seed,seed,Phaseolus acutifolius var. acutifolius,,PHAACUA,PHACA2,Fabaceae,forb,native,1984,100,,,2.52,50,32.24388889,-111.1669444,868,"culivated, so location might not be relevant",PI 640987,GRIN,GRIN-PI-640987,cultivated,,,,,
y,y,morph,,1,seed,seed,Phaseolus acutifolius var. acutifolius,,PHAACUA,PHACA2,Fabaceae,forb,native,1990,100,,,1.11,50,31.41611111,-110.7561111,1692,,PI 640989,GRIN,GRIN-PI-640989,wild,,,,,
y,y,both,,1,seed,seed,Phaseolus acutifolius var. acutifolius,,PHAACUA,PHACA2,Fabaceae,forb,native,2001,100,,,1.35,19,,,,,PI 640986,GRIN,GRIN-PI-640986,wild,,,,,
y,y,morph,,1,seed,seed,Phaseolus acutifolius var. tenuifolius,,PHAACUT,PHACT,Fabaceae,forb,native,1989,100,,,1.12,50,32.75,-109.006,1299,"Pinaleno Mountains, Graham county arizona",PI 640993,GRIN,GRIN-PI-640993,wild,,,,Potentially not in an aridland; collected before 2001,
y,y,morph,,1,seed,seed,Phaseolus acutifolius var. tenuifolius,,PHAACUT,PHACT,Fabaceae,forb,native,2001,84,,,1,50,,,,,PI 653249,GRIN,GRIN-PI-653249,wild,,,,,
y,y,both,,1,seed,seed,Phaseolus acutifolius var. tenuifolius,,PHAACUT,PHACT,Fabaceae,forb,native,2003,99,,,0.95,50,31.71861111,-110.7591667,1206,,W6 24877,GRIN,GRIN-W6-24877,wild,,,,,
y,y,both,,1,seed,seed,Pholistoma auritum,,PHOAUR,PHAU4,Boraginaceae,forb,native,1996,0,,,0.57305638,102,34.12637,-118.86496,344,,22411,CBG,CBG-22411,wild,,,,,
y,y,both,,1,seed,seed,Physalis crassifolia,,PHYCRA,PHCR4,Solanaceae,forb,native,1998,87.9,,,0.449814073,350,33.93152,-116.64936,518,,19929,CBG,CBG-19929,wild,,,,,
y,y,,,,,,Plagiobothrys arizonicus,,PLAARI,PLAR,Boraginaceae,forb,native,2005,76,,1.835,0.1835,100,33.93028,-112.52861,838,,W6 30748,GRIN,GRIN-W6-30748,wild,,,,,
y,y,both,,1,nutlet,nutlet,Plagiobothrys arizonicus,,PLAARI,PLAR,Boraginaceae,forb,native,2008,79,,1.835,0.1835,100,34.23694,-112.04139,1125,,W6 35312,GRIN,GRIN-W6-35312,wild,,,,,
y,y,both,,1,nutlet,nutlet,Plagiobothrys nothofulvus,,PLANOT,PLNO,Boraginaceae,forb,native,2021,,,,1,,39.248528,-121.31305,208,,,SFREC,SFREC-11,wild,,x,,,
y,y,,,,,,Plantago erecta,,PLAERE,PLER3,Plantaginaceae,forb,native,1996,,,,0.180115652,130,34.6275,-118.71194,856,,19119,CBG,CBG-19119,wild,,,,,
y,y,,,,,,Plantago erecta,,PLAERE,PLER3,Plantaginaceae,forb,native,1997,95.8,,,0.125979955,90,34.12637,-118.86496,344,,22420,CBG,CBG-22420,wild,,,,,
