in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,microbe.rob,notes,
y,,,,,,,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,1998,0,,,2.02568306,165,35.66696,-116.28821,141,,19899,CBG,CBG-19899,wild,,,,,
y,,,,,,,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2015,,,,,,33.300707,-116.329031,,,,DW,DW-01,wild,,,,only 200,
y,y,both,y,1,anthocarp,seed,Abronia villosa,,ABRVIL,ABVI,Nyctaginaceae,forb,native,2020,12,,,0.3115,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-1,wild,,,,,
y,y,,,,,,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,1997,80,,,0.03323741,14,34.14013,-118.76048,257,,22430,CBG,CBG-22430,wild,,,,,
y,y,,,,,,Achyrachaena mollis, ,ACHMOL,ACMO,Asteraceae,forb,native,2003,28,,,0.294872263,55,32.89794,-118.48631,420,,21097,CBG,CBG-21097,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,,,,0.72,,38.86537177,-122.4029395,663,location approximate,,MCL-ML,MCL-ML-1a,wild,,,,,
y,y,both,y,1,achene + remnant flower,achene,Achyrachaena mollis,,ACHMOL,ACMO,Asteraceae,forb,native,2015,,,,,44,38.86537177,-122.4029395,663,location approximate,,MCL-ML,MCL-ML-1b,wild,,,,"only 44 of this morph, 43 of them are in their dispersules and 1 is clean",
y,y,both,,1,seed,seed,Achyronychia cooperi,,ACHCOO,ACCO3,Caryophyllaceae,forb,native,2017,60,,,0.110518868,1100,33.87157,-116.44117,394,,24787,CBG,CBG-24787,wild,,,,,
y,y,both,,1,seed,seed,Acmispon americanus,Lotus purshianus,ACMAME,LOUNU,Fabaceae,forb,native,2021,76,,,1.155,,NA,NA,NA,,,HED,HED-1,cultivated,,x,,,
,n,,,1,seed,seed,Acmispon brachycarpus,Lotus humistratus,ACMBRA,LOHU2,Fabaceae,forb,native,2019,,,,,,38.87239,-122.42753,659,,,MCL-EE,MCL-EE-2,wild,,,,not enough of this one,cabinet
y,y,both,,1,seed,seed,Acmispon maritimus var. brevivexillus,Lotus salsuginosus var. brevivexillus,ACMMARB,LOSAB,Fabaceae,forb,native,2007,78,,,0.3715,100,33.9038,-111.82012,1016,,W6 32602,GRIN,GRIN-W6-32602,wild,,,,collected before 2007; cannot order more,
y,y,both,,1,seed,seed,Acmispon strigosus,Lotus strigosus,ACMSTR,LOST4,Fabaceae,forb,native,2011,30,,,0.568,427,33.66545,-116.83133,760,,23436,CBG,CBG-23436,wild,,,,,
y,y,both,,1,seed,seed,Acmispon wrangelianus,Lotus wrangelianus,ACMWRA,LOWR2,Fabaceae,forb,native,2021,,,,0.49,,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,MCL-ML-16,wild,,,,,
,,,,,,,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2016,,,,,,,,,,,MCL-EE,MCL-EE-3,wild,,,,have another acc,
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,1.37,,39.24872381,-121.315312,193,,,SFREC,SFREC-20a,wild,,,,"morph 2, small",
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,3.58,,39.24872381,-121.315312,193,,,SFREC,SFREC-20,wild,,,,spikelet,
y,y,both,y,2,spikelet,caryopsis,Aegilops triuncialis,,AEGTRI,AETR,Poaceae,grass,invasive,2021,,,,3.58,,39.24872381,-121.315312,193,,,SFREC,SFREC-20b,wild,,,,"morph 1, large",
,,,,,,,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2016,,,,,,,,,,,MCL-EE,MCL-EE-4,wild,,,,have another acc,
y,y,both,y,1,achene + pappus,achene,Agoseris heterophylla,,AGOHET,AGHE2,Asteraceae,forb,native,2015,,,,0.17,,38.82669382,-122.3390715,399,,,MCL-ML,MCL-ML-7,wild,,,,,
y,y,both,,1,seed,seed,Aliciella latifolia ssp. latifolia,,ALILATL,ALLAL3,Polemoniaceae,forb,native,1998,30,,,0.088171893,1750,33.60372,-115.92266,240,,19964,CBG,CBG-19964,wild,,,,not enough of this species for phosphorus,
y,y,,,,,,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,1999,97,0,0.26,0.06,400,33.41666667,-112,345,,PI 612855,GRIN,GRIN-PI-612855,wild,,,,,
y,y,both,,1,seed,seed,Amaranthus fimbriatus,,AMAFIM,AMFI,Amaranthaceae,forb,native,2010,74,73,0.26,0.064,400,31.83397,-110.85645,1111,,PI 662285,GRIN,GRIN-PI-662285,wild,,,,,
y,y,both,,1,seed,seed,Amaranthus hybridus,,AMAHYB,AMHY,Amaranthaceae,forb,native,2010,100,31,0.56,0.112,200,31.79261,-110.74676,1580,,PI 688207,GRIN,GRIN-PI-688207,wild,,,,,
y,y,both,,1,seed,seed,Amaranthus palmeri,,AMAPAL,AMPA,Amaranthaceae,forb,native,1999,84,9,0.3,0.12,400,33.41666667,-112,345,,PI 612856,GRIN,GRIN-PI-612856,wild,,,,,
y,y,both,,1,seed,seed,Amaranthus torreyi,,AMATOR,AMTO6,Amaranthaceae,forb,native,2010,95,0,,0.14,400,31.79261,-110.74676,1580,,PI 688211,GRIN,GRIN-PI-688211,wild,,,,,
y,y,both,,1,nutlet,nutlet,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2013,92,,,0.89,200,33.393283,-111.3626803,709,,W6 48213,GRIN,GRIN-W6-48213,wild,,,,,
y,y,,,,,,Amsinckia intermedia,,AMSINT,AMMEI2,Boraginaceae,forb,native,2019,73,,,0.4063,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-2,wild,,,x,,
y,y,,,,,,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2001,99,,,1.665540475,600,33.75519,-116.89113,518,,20715,CBG,CBG-20715,wild,,,,,
y,y,both,,1,nutlet,nutlet,Amsinckia menziesii,,AMSMEN,AMME,Boraginaceae,forb,native,2021,,,,0.7,,39.23602182,-121.3049973,353,,,SFREC,SFREC-1,wild,,x,,,
y,y,both,,1,nutlet,nutlet,Amsinckia tessellata,,AMSTES,AMTE3,Boraginaceae,forb,native,2018,78,,,0.9543,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-3,wild,,,,,
y,y,morph,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2019,,,,0.1646,,38.86556193,-122.402132,679,near kathy's house,,MCL-EE,MCL-EE-5,wild,,,x,only need 200,
y,y,chem,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2021,,,,1.139,,NA,NA,NA,,,OUT,OUT-1,cultivated,,x,,,
y,y,both,,1,achene,achene,Ancistrocarphus filagineus,,ANCFIL,ANFI3,Asteraceae,forb,native,2019,,,,0.0614,,38.87251,-122.4273,663,,,MCL-EE,MCL-EE-6,wild,,,,,
y,y,both,,1,achene,achene,Anisocoma acaulis,,ANIACA,ANAC,Asteraceae,forb,native,2003,8,,,2.0816,193,34.32338,-117.27163,960,,21059,CBG,CBG-21059,wild,,,,,
y,y,both,y,1,mericarp,seed,Anoda pentaschista,,ANOPEN,ANPE4,Malvaceae,forb,native,2007,83,,5.282,0.5282,100,34.24222,-112.04806,1118,,W6 36754,GRIN,GRIN-W6-36754,wild,,,,cannot order more,
y,y,morph,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2006,30,,,0.24306204,1800,34.70846,-118.69405,1195,,22016,CBG,CBG-22016,wild,,,,,
y,,,,,,,Antirrhinum coulterianum,,ANTCOU,SACO13,Plantaginaceae,forb,native,2015,,,,,,33.239178,-116.392846,,,,DW,DW-02,wild,,,,dont need this one,
y,y,chem,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2019,68,,,0.2508,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-4,wild,,,,,
y,y,both,,1,seed,seed,Antirrhinum multiflorum,Sairocarpus multiflorus,ANTMUL,SAMU2,Plantaginaceae,forb,native,2001,16.3,,,0.313104711,20900,34.09281,-118.60984,253,,22451,CBG,CBG-22451,wild,,,,,
y,y,,,,,,Argemone munita,,ARGMUN,ARMU,Papaveraceae,forb,native,1998,0,,,0.066388646,23,34.27603,-117.60992,2591,,20124,CBG,CBG-20124,wild,,,,,
y,y,both,,1,seed,seed,Argemone munita,,ARGMUN,ARMU,Papaveraceae,forb,native,2004,,,,0.308722664,101,33.29491,-115.38441,183,,21422,CBG,CBG-21422,wild,,,,,
y,y,both,y,1,floret,caryopsis,Aristida adscensionis,,ARIADS,ARAD,Poaceae,grass,native,2003,63.3,,,0.150966027,204,32.89794,-118.48631,183,,21102,CBG,CBG-21102,wild,,,,,
y,y,,,,,,Aristida adscensionis,,ARIADS,ARAD,Poaceae,grass,native,2007,79,,1.04,0.104,100,32.345,-110.71806,1513,,W6 35187,GRIN,GRIN-W6-35187,wild,,,,,
y,y,both,y,1,seed + papery covering,seed,Astragalus didymocarpus,,ASTDID,ASDI3,Fabaceae,forb,native,2020,,,,0.13,102,,,,,,CP,CP-11,wild,,,,93 disperules,
y,y,both,y,1,seed + papery covering,seed,Astragalus didymocarpus var. dispermus,,ASTDIDD,ASDID,Fabaceae,forb,native,2003,20,,,0.57,600,33.78216,-116.93819,506,,21062,CBG,CBG-21062,wild,,,,,
,,,,,,,Astragalus gambelianus,,ASTGAM,ASGA,Fabaceae,forb,native,2019,,,,,,38.8726,-122.42719,,,,MCL-EE,MCL-EE-7,wild,,,,have another acc,
y,y,both,y,1,seed + papery covering,seed,Astragalus gambelianus,,ASTGAM,ASGA,Fabaceae,forb,native,2021,,,,0.28,,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,MCL-ML-17,wild,,,,,
y,y,both,y,1,silicle,seed,Athysanus pusillus,,ATHPUS,ATPU,Brassicaceae,forb,native,2018,,,,0.0514,140,,,,,,MCL-EE,MCL-EE-8,wild,,,,check notes on bag for location estimate,
y,y,both,y,1,silicle,seed,Athysanus pusillus,,ATHPUS,ATPU,Brassicaceae,forb,native,2021,,,,0.008,25,38.87146422,-122.4276015,719,,,MCL-ML,MCL-ML-37,wild,,,,,
y,y,both,,1,achene,achene,Atrichoseris platyphylla,,ATRPLA,ATPL,Asteraceae,forb,native,1998,14,,,0.543977508,600,35.72784,-117.40285,510,,20046,CBG,CBG-20046,wild,,,,,
y,y,both,,1,utricle,utricle,Atriplex elegans var. fasciculata,,ATRELEF,ATELF,Chenopodiaceae,forb,native,2014,97.2,,,0.591860931,600,35.00113,-116.62708,546,,23921,CBG,CBG-23921,wild,,,,has really low viability ,
y,y,both,y,1,floret,caryopsis,Avena barbata,,AVEBAR,AVBA,Poaceae,grass,invasive,2021,,,,1.44,,39.24532189,-121.3139005,236,,,SFREC,SFREC-2,wild,,x,,,
y,y,both,y,1,floret,caryopsis,Avena fatua,,AVEFAT,AVFA,Poaceae,grass,invasive,2021,,,,2.53,,39.25181407,-121.3129181,202,,,SFREC,SFREC-3,wild,,,,,
y,y,,,,,,Avena fatua,,AVEFAT,AVFA,Poaceae,grass,invasive,2015,,,,,,38.86995996,-122.4281839,667,location approximate,,MCL-ML,MCL-ML-4,wild,,,,,
y,y,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2005,,,0.87956,0.07,100,33.93194,-111.81722,1106,,Ames 29879,GRIN,GRIN-Ames-29879,wild,,,,THIS IS PERENNIAL,
y,y,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2010,83,15,0.87956,0.07,100,36.98867,-113.92238,,,Ames 32431,GRIN,GRIN-Ames-32431,wild,,,,THIS IS PERENNIAL,
y,y,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2011,84,68,0.87956,0.061,100,32.59387,-110.72922,,,Ames 31297,GRIN,GRIN-Ames-31297,wild,,,,THIS IS PERENNIAL,
y,y,,,,,,Baileya multiradiata,,BAIMUL,BAMU,Asteraceae,forb,native,2012,78,,0.87956,0.087956,100,32.45187,-109.39822,,,W6 47602,GRIN,GRIN-W6-47602,wild,,,,THIS IS PERENNIAL,
y,y,both,,1,anthocarp,anthocarp,Boerhavia erecta,,BOEERE,BOER,Nyctaginaceae,forb,native,2007,75,,1.94,0.388,200,34.23667,-112.03944,1133,,W6 36758,GRIN,GRIN-W6-36758,wild,,,,,
y,y,both,,1,anthocarp,anthocarp,Boerhavia triquetra var. intermedia,Boerhavia intermedia,BOETRII,BOIN,Nyctaginaceae,forb,native,2012,0,,,0.578996406,600,33.6087,-114.93563,109,,23519,CBG,CBG-23519,wild,,,,,
y,y,both,y,1,floret,caryopsis,Bouteloua barbata,,BOUBAR,BOBA2,Poaceae,grass,native,2012,2,,,0.223081559,1859,33.60871,-114.95355,106,,23528,CBG,CBG-23528,wild,,,,,
y,y,,,,,,Brassica nigra,,BRANIG,BRNI,Brassicaceae,forb,invasive,2021,,,,,,NA,NA,NA,,,OUT,OUT-2,cultivated,,x,,,
y,y,both,,1,seed,seed,Brassica nigra,,BRANIG,BRNI,Brassicaceae,forb,invasive,2021,,,,1.52,,38.82412343,-122.3374759,387,,,MCL-ML,MCL-ML-28,wild,x,,,,
y,,,,,,,Brassica tournefortii,,BRATOU,BRTO,Brassicaceae,forb,invasive,2015,,,,,,,,,,,DW,DW-03,wild,,,,don't need,
y,y,both,,1,seed,seed,Brassica tournefortii,,BRATOU,BRTO,Brassicaceae,forb,invasive,2021,,,,1.64,,33.98481267,-116.653222,649,whitewater preserve,,MD,MD-2,wild,,,,,
y,n,,,,,,Bromus diandrus,,BRODIA,BRDI3,Poaceae,grass,invasive,2021,,,,,,33.99061279,-116.6578569,681,Whitewater preserve,,MD,MD-3,wild,,,,don't do this one,
y,y,both,y,1,floret,caryopsis,Bromus diandrus,,BRODIA,BRDI3,Poaceae,grass,invasive,2021,,,,1.89,,38.56483847,-121.4745267,4,R&27,,SAC,SAC-01,wild,,,,do this one,
y,y,,,,,,Bromus hordeaceus,,BROHOR,BRHO2,Poaceae,grass,invasive,2020,93,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-5,cultivated,,x,,,
y,y,both,y,1,floret,caryopsis,Bromus hordeaceus,,BROHOR,BRHO2,Poaceae,grass,invasive,2021,,,,0.41,,39.2473973,-121.3144869,216,location estimate,,SFREC,SFREC-4,wild,,,,,
y,y,both,y,1,floret,caryopsis,Bromus madritensis,,BROMAD,BRMA3,Poaceae,grass,invasive,2021,,,,0.44,,39.24532189,-121.3139005,236,,,SFREC,SFREC-5,wild,,,,,
y,y,both,y,1,floret,caryopsis,Bromus rubens,,BRORUB,BRRU2,Poaceae,grass,invasive,2021,,,,0.407,,34.01680584,-116.6278051,748,Whitewater preserve & mission creek,,MD,MD-4,wild,,,,,
y,y,both,y,1,floret,caryopsis,Bromus tectorum,,BROTEC,BRTE,Poaceae,grass,invasive,2021,,,,0.63,,34.01680584,-116.6278051,748,Whitewater preserve & mission creek,,MD,MD-5,wild,,,,,
,,,,,,,Calandrinia menziesii,Calandrinia ciliata,CALMEN,CACI2,Montiaceae,forb,native,2019,,,,,,38.86556193,-122.402132,,,,MCL-EE,MCL-EE-9,wild,,,,have another acc,
y,y,,,,,,Calandrinia menziesii,Calandrinia ciliata,CALMEN,CACI2,Montiaceae,forb,native,2020,28,,,,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-6,wild,,,x,,
y,y,both,,1,seed,seed,Calandrinia menziesii,Calandrinia ciliata,CALMEN,CACI2,Montiaceae,forb,native,2021,,,,0.19,,38.85967354,-122.4114163,646,knoxville road,,MCL-ML,MCL-ML-18,wild,,,x,,
y,y,both,y,1,achene + pappus,achene,Calycadenia multiglandulosa,,CALMUL,CAMU3,Asteraceae,forb,native,2021,,,,0.2,,39.293063,-121.28962,429,,,SFREC,SFREC-18a,wild,,,,"morph 2, disc",
y,y,both,,1,achene,achene,Calycadenia multiglandulosa,,CALMUL,CAMU3,Asteraceae,forb,native,2021,,,,0.19,,39.293063,-121.28962,429,,,SFREC,SFREC-18b,wild,,,,"morph 1, ray",
y,y,both,,1,achene,achene,Calycadenia pauciflora,,CALPAU,CAPA6,Asteraceae,forb,native,2016,,,,0.1863,,,,,,,MCL-EE,MCL-EE-10,wild,,,,check notes on bag for location estimate,
y,y,chem,,1,seed,seed,Calyptridium monandrum,Cistanthe monandra,CALMON,CIMO4,Montiaceae,forb,native,1996,91.5,,,0.149245812,1900,33.31805,-116.74555,1192,,19520,CBG,CBG-19520,wild,,,,,
y,y,morph,,1,seed,seed,Calyptridium monandrum,Cistanthe monandra,CALMON,CIMO4,Montiaceae,forb,native,2003,67.3,,,0.200023313,2500,34.43305,-117.58658,1250,,21042,CBG,CBG-21042,wild,,,,,
y,y,both,,1,seed,seed,Camissonia campestris,,CAMCAM,CACA33,Onagraceae,forb,native,2019,,,,0.0244,,,,,,,CP,CP-12,wild,,,,,
y,y,both,,1,seed,seed,Camissoniopsis ignota,Camissonia ignota,CAMIGN,CAIG2,Onagraceae,forb,native,2003,11.6,,,0.209065141,2300,33.78216,-116.93819,506,,21165,CBG,CBG-21165,wild,,,,,
y,y,morph,,1,seed,seed,Camissoniopsis pallida,Camissonia pallida,CAMPAL,CAPA36,Onagraceae,forb,native,2011,20.5,,,0.155,1550,33.96135,-116.6659,1390,,23460,CBG,CBG-23460,wild,,,,,
y,y,chem,,1,seed,seed,Camissoniopsis pallida,Camissonia pallida,CAMPAL,CAPA36,Onagraceae,forb,native,2019,82,,,,,34.31451204,-118.9662452,250,Rancho de los flores; cultivation site,,SS,SS-7,cultivated,,,,,
y,y,both,,1,seed,seed,Capsella bursa-pastoris,,CAPBUR,CABU2,Brassicaceae,forb,invasive,2019,,,,0.1996,,,,,,,CP,CP-1,wild,,,,,
y,y,both,,1,seed,seed,Capsella bursa-pastoris,,CAPBUR,CABU2,Brassicaceae,forb,invasive,2021,,,,0.1692,,38.58438631,-121.4644342,12,Sutter's landing,,SAC,SAC-07,wild,,,,,
y,y,,,,,,Carduus pycnocephalus,,CARPYC,CAPY2,Asteraceae,forb,invasive,2021,,,,0.6551,,38.56230515,-121.4725722,6,T&29th sac,,SAC,SAC-02,wild,,,,,
y,y,both,,1,achene,achene,Carduus pycnocephalus,,CARPYC,CAPY2,Asteraceae,forb,invasive,2021,,,,0.876,141,39.24532189,-121.3139005,236,,,SFREC,SFREC-6,wild,,,,,
y,y,both,,1,seed,seed,Castilleja attenuata,,CASATT,CAAT25,Orobanchaceae,forb,native,2019,,,,0.2452,,38.86983,-122.42793,671,,,MCL-EE,MCL-EE-11,wild,,,,,
y,y,both,,1,seed,seed,Castilleja exserta,,CASEXS,CAEX14,Orobanchaceae,forb,native,1997,100,,,0.19,1500,34.09941,-118.69897,216,,22368,CBG,CBG-22368,wild,,,,,
y,y,,,,,,Castilleja exserta,,CASEXS,CAEX14,Orobanchaceae,forb,native,1997,95.7,,,0.21514454,2050,34.09941,-118.69897,216,,22375,CBG,CBG-22375,wild,,,,,
y,y,,,,,,Castilleja exserta,,CASEXS,CAEX14,Orobanchaceae,forb,native,2020,50,,,0.2422,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-8,wild,,,x,,
y,y,both,,1,seed,seed,Caulanthus anceps,,CAUANC,CAAN25,Brassicaceae,forb,native,2010,88,,,0.251004742,1650,35.20075,-119.85575,634,,23305,CBG,CBG-23305,wild,,,,,
y,y,both,,1,seed,seed,Caulanthus heterophyllus,,CAUHET,CAHE11,Brassicaceae,forb,native,1996,62,,,0.181457355,600,33.33055,-116.75333,1387,,19136,CBG,CBG-19136,wild,,,,,
y,y,both,,1,seed,seed,Caulanthus lasiophyllus,Guillenia lasiophylla,CAULAS,GULA4,Brassicaceae,forb,native,1996,84,,,0.120751264,1050,34.09444,-118.64868,386,,22341,CBG,CBG-22341,wild,,,,,
y,y,both,,1,seed,seed,Caulanthus lasiophyllus,Guillenia lasiophylla,CAULAS,GULA4,Brassicaceae,forb,native,,,,,0.3647,,,,,,,CP,CP-2,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Centaurea melitensis,,CENMEL,CEME2,Asteraceae,forb,invasive,2021,,,,1.06,,38.859917,-122.425658,671,,,MCL-ML,MCL-ML-38,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2021,,,,,,38.87190074,-122.4265917,651,,,MCL-ML,MCL-ML-39a,wild,,x,,disc morph,
y,y,both,,1,achene,achene,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2021,,,,,,38.87190074,-122.4265917,651,,,MCL-ML,MCL-ML-39b,wild,,x,,ray morph,
y,n,,,,,,Centaurea solstitialis,,CENSOL,CESO3,Asteraceae,forb,invasive,2016,,,,,,38.84860964,-122.357364,,location approximate,,MCL-ML,MCL-ML-8,wild,,,,in big bag above desk; dont bother cleaning this one,
y,y,morph,,1,achene,achene,Chaenactis artemisiifolia,,CHAART,CHAR,Asteraceae,forb,native,1996,,,,0.311994202,600,34.09444,-118.64868,386,,22342,CBG,CBG-22342,wild,,,,,
y,y,chem,,1,achene,achene,Chaenactis artemisiifolia,,CHAART,CHAR,Asteraceae,forb,native,2019,75,,,0.2,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-9,wild,,,,,
y,y,both,,1,achene,achene,Chaenactis carphoclinia,,CHACAR,CHCA,Asteraceae,forb,native,2017,20.8,,,0.191986605,600,33.5114,-116.2221,252,,24825,CBG,CBG-24825,wild,,,,,
y,y,both,,1,achene,achene,Chaenactis fremontii,,CHAFRE,CHFR,Asteraceae,forb,native,2011,81,,,0.0653,100,36.42772,-113.96945,773,,W6 43492,GRIN,GRIN-W6-43492,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Chaenactis fremontii,,CHAFRE,CHFR,Asteraceae,forb,native,2015,,,,0.164,,33.281305,-116.348812,181,,,DW,DW-04,wild,,,,,
,n,,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,2019,,,,,,38.87225587,-122.4273387,,,,MCL-EE,MCL-EE-12,wild,,,,have another acc,
y,y,chem,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,2020,66,,,0.241,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-10,wild,,,,,
y,y,morph,,1,achene + pappus,achene + pappus,Chaenactis glabriuscula,,CHAGLA,CHGL,Asteraceae,forb,native,,,,,0.1663,,,,,,,CP,CP-3,wild,,,,,
y,y,,,,,,Chaenactis stevioides,,CHASTE,CHST,Asteraceae,forb,native,2004,44,,0.564,0.0564,100,34.105,-114.20167,202,,W6 30072,GRIN,GRIN-W6-30072,wild,,,,,
y,y,both,y,1,achene + pappus,achene,Chaenactis stevioides,,CHASTE,CHST,Asteraceae,forb,native,2015,,,,0.16,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-1,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium album,,CHEALB,CHAL7,Chenopodiaceae,forb,native,2005,75,23,0.6,0.2,400,34.74944444,-112.0125,1009,,PI 666270,GRIN,GRIN-PI-666270,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium arizonicum,,CHEARI,CHNEN,Chenopodiaceae,forb,native,2014,100,0,,0.06,200,31.9141,-109.1309,1470,,Ames 33026,GRIN,GRIN-Ames-33026,wild,,,,,
y,y,chem,,1,utricle,utricle,Chenopodium arizonicum,,CHEARI,CHNEN,Chenopodiaceae,forb,native,2014,94,0,,0.06,200,31.911,-109.1542,1481,,Ames 33027,GRIN,GRIN-Ames-33027,wild,,,,,
y,y,,,,,,Chenopodium berlandieri,,CHEBER,CHBE4,Chenopodiaceae,forb,native,2005,97,92,1.068,0.14,200,34.74944444,-112.0125,1009,,PI 666275,GRIN,GRIN-PI-666275,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri,,CHEBER,CHBE4,Chenopodiaceae,forb,native,2008,99,13,1.068,0.2,200,34.28444444,-109.8444444,1985,,PI 666296,GRIN,GRIN-PI-666296,wild,,,,,
y,y,,,,,,Chenopodium berlandieri var. sinuatum,,CHEBERS,CHBES,Chenopodiaceae,forb,native,2006,94,94,,0.16,200,34.77333333,-112.6077778,1411,,PI 666274,GRIN,GRIN-PI-666274,wild,,,,,
y,y,,,,,,Chenopodium berlandieri var. sinuatum,,CHEBERS,CHBES,Chenopodiaceae,forb,native,2008,98,1,,0.22,200,34.95472222,-111.4358333,2206,,PI 666287,GRIN,GRIN-PI-666287,wild,,,,NOT in an aridland,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri var. sinuatum,,CHEBERS,CHBES,Chenopodiaceae,forb,native,2014,95,85,,0.14,200,34.2605,-112.7292,1365,,Ames 33009,GRIN,GRIN-Ames-33009,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium berlandieri var. zschackei,,CHEBERZ,CHBEZ,Chenopodiaceae,forb,native,2008,100,34,,0.26,199,34.28444444,-109.8444444,1985,,PI 666293,GRIN,GRIN-PI-666293,wild,,,,NOT in an aridland,
y,y,both,,1,utricle,utricle,Chenopodium hians,,CHEHIA,CHHI,Chenopodiaceae,forb,native,2008,98,12,,0.16,400,34.63694444,-111.8169444,991,,PI 666312,GRIN,GRIN-PI-666312,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium incanum var. elatum,,CHEINCE,CHINE,Chenopodiaceae,forb,native,2008,98,95,,0.2,400,34.49472222,-111.715,1284,,PI 666314,GRIN,GRIN-PI-666314,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium incanum var. occidentale,,CHEINCO,CHINO,Chenopodiaceae,forb,native,2008,92,,,0.2,400,35.45416667,-113.6058333,1284,,PI 691474,GRIN,GRIN-PI-691474,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium murale,,CHEMUR,CHMU2,Chenopodiaceae,forb,invasive,2015,,,,0.1585,,33.260428,-116.348116,165,,,DW,DW-05,wild,,,,,
y,y,both,,1,utricle,utricle,Chenopodium neomexicanum,,CHENEO,CHNE3,Chenopodiaceae,forb,native,2008,99,65,,0.14,200,34.50083333,-111.4633333,2110,,PI 666319,GRIN,GRIN-PI-666319,wild,,,,NOT in an aridland,
y,y,,,,,,Chenopodium neomexicanum,,CHENEO,CHNE3,Chenopodiaceae,forb,native,2014,98,0,,0.1,200,31.9123,-109.2491,2006,,Ames 33011,GRIN,GRIN-Ames-33011,wild,,,,,
y,y,chem,,1,utricle,utricle,Chenopodium watsonii,,CHEWAT,CHWA,Chenopodiaceae,forb,native,2005,99,98,,0.08,200,34.77388889,-112.6108333,1412,,Ames 28061,GRIN,GRIN-Ames-28061,wild,,,,,
